Id,Name,Platform_x,Publisher_x,Genre,ESRB_Rating,Platform_y,Publisher_y,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
75,Grand Theft Auto V,PC,Rockstar Games,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,,8.72,4.7,3.25,0.01,0.76,2014.0
125,Grand Theft Auto V,XOne,Rockstar Games,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
125,Grand Theft Auto V,XOne,Rockstar Games,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
125,Grand Theft Auto V,XOne,Rockstar Games,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013.0
125,Grand Theft Auto V,XOne,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015.0
125,Grand Theft Auto V,XOne,Rockstar Games,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,,8.72,4.7,3.25,0.01,0.76,2014.0
28,Devil May Cry,Series,Capcom,Action,M,PS2,Capcom,Capcom,9.1,9.3,2.16,,,,,,2001.0
30,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Misc,E,DS,Nintendo,Nintendo SDD,8.1,,19.01,,,,,,2006.0
31,Mario Kart 7,3DS,Nintendo,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,,18.11,,,,,,2011.0
32,Super Mario Land,GB,Nintendo,Platform,E,GB,Nintendo,Nintendo R&D1,,,18.14,,,,,,1989.0
32,Super Mario Land,GB,Nintendo,Platform,E,3DS,Nintendo,Nintendo R&D1,7.5,,,,,,,,2011.0
33,Super Smash Bros. Ultimate,NS,Nintendo,Fighting,E10,NS,Nintendo,Bandai Namco Games,9.4,9.7,12.08,,,,,,2018.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,M,PS2,Rockstar Games,Rockstar North,9.5,,17.3,,,,,,2004.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,M,XB,Rockstar Games,Rockstar North,9.2,,,1.95,1.26,0.61,,0.09,2005.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,9.4,,,0.97,0.0,0.93,,0.04,2005.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,M,XBL,Rockstar Games,Rockstar North,,,,0.13,0.09,0.02,,0.01,2008.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Misc,,PS3,Rockstar Games,Unknown,,,,0.01,,0.01,,0.0,2012.0
